ソート番号,クーポン名,クーポン名カナ,業種,クーポンの割引金額,クーポン名表示用,ブロックNO,郵便番号,店舗住所,電話番号,店舗説明,店舗URL,インスタグラムのアカウント,店舗画像,経度,緯度
327,天ぷら割烹　齋とう,テンプラカッポウ　サイトウ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川2-4-19 ジュネス登呂田101,054-397-6753,定休日変更あり……定休日：火曜日、第二・第四月曜日   (月曜日が祝日の場合は営業),https://www.tenpurasaitou.com/,,,138.3110121,34.8591681
328,菓子屋ミラベル,カシヤミラベル,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0041,静岡県焼津市石津4丁目15-15,054-639-7961,営業時間：10:00〜18:00 定休日：木曜日(木曜が祝日の場合、別曜日),https://mirabelle.co.jp/,https://www.instagram.com/mirabelle.co.jp/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/328.jpg,138.3178097,34.8404108
329,酒ゃビック焼津店,サカヤビックヤイヅテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠3丁目11-8,054-629-5267,営業時間１０：００〜２０：００,https://www.sakayabic.co.jp/store/100121.html,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/329.jpg,138.306422,34.878214
330,酒ゃビック西小川店,サカヤビックニシコガワテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川2丁目1-17,054-620-9751,営業時間10：00〜20：00,https://sakayabic.co.jp/store/100142.html,,,138.31154,34.859395
331,川直　焼津さかなセンター店,カワナオ　ヤイヅサカナセンターテン,小売業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-627-7928,,https://kawanao.shopinfo.jp/,https://www.instagram.com/kawanao_yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/331.jpg,138.3033818,34.8798202
332,食事処　かどや,ショクジドコロ　カドヤ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0021,静岡県焼津市中港3-4-31,054-628-4951,営業時間　昼　11時〜13時30分LO 　　　　　夜　17時〜19時30分LO  7/28日（月）7/29日（火）お休みです。,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/332.jpg,138.325786,34.873942
333,Bijou doux,ヴィジュ　ドゥ,小売業,500,"1,000円以上会計で500円引き",1,421-0205,焼津市宗高1427-3,054-664-4567,,,https://www.instagram.com/bijou_doux/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/333.jpg,138.2768998,34.8121145
334,きさらぎ,キサラギ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,焼津市八楠2-25-13,054-627-8426,平日　　11:00〜13:30 16:00〜21:30 日、祝　11:00〜13:30 16:00〜20:30,,https://www.instagram.com/kisaragi_komomo/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/334.jpg,138.307366,34.881732
335,ラヴィエベル,ラヴィエベル,小売業,500,"1,000円以上会計で500円引き",1,425-0038,焼津市黒石2丁目3番地の14,054-623-7203,定休日：毎週月、火（休日は営業）,http://lavieestbelle2002.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/335.jpg,138.3060679,34.8428195
336,食楽　えんや,ショクラク　エンヤ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0041,静岡県焼津市石津1-9-17,054-623-0151,,,https://www.instagram.com/yaizu_enya/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/336.jpg,138.3108092,34.8426141
337,ISO,イソ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0028,静岡県焼津市駅北2丁目14-11ロイヤルハイツ,054-628-9430,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/337.jpg,138.3155349,34.8718083
339,スギヤマ時計店,スギヤマトケイテン,小売業,500,"1,000円以上会計で500円引き",1,425-0027,静岡県焼津市栄町6-2-1,054-628-4576,水曜定休,http://www2.wbs.ne.jp/~s-watch/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/339.jpg,138.317557,34.86877
340,うさぎとこむぎ,ウサギトコムギ,飲食業,500,"1,000円以上会計で500円引き",1,421-0216,静岡県焼津市相川1057-1,054-622-3035,,,https://www.instagram.com/usagitokomugi/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/340.jpg,138.2640248,34.8070894
341,西島薬局,ニシジマヤッキョク,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0028,静岡県焼津市駅北2-6-11,054-628-7061,処方せん以外利用可能,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/341.jpg,138.3166722,34.8722126
342,ファッションサロン　花ぞの,ファッションサロン　ハナゾノ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津5-1-1,054-628-1641,営業日　火〜土(10:00〜17:30),,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/342.jpg,138.3152902,34.8643357
343,とうそん焼津店,トウソンヤイヅテン,飲食業,500,"1,000円以上会計で500円引き",1,425-0036,静岡県焼津市西小川4-16-6,054-628-8166,営業時間10:00から15:00（ラストオーダー14:30) 水曜日定休,https://www.towson-shizuoka.com,https://www.instagram.com/towsonramen/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/343.jpg,138.3050215,34.8538478
344,地酒　やすだや,ジザケ　ヤスダヤ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0055,静岡県焼津市道原1181-2,054-623-3093,休日　毎日曜日と第2.と第3月曜日 営業時間　AM9：00〜P M19:00,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/344.jpg,138.303878,34.845295
345,アップル車検クラシマ,アップルシャケンクラシマ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-9-10,054-627-2255,営業時間は9：00〜17：30,https://www.kurara-cars.jp,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/345.jpg,138.304531,34.879255
346,韓の食卓イェッコル,カンノショクタクイェッコル,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川2-1-6,054-637-9199,,,https://www.instagram.com/yetgol.yaizu/,,138.3116299,34.8591852
347,あたびーcafe,アタビーカフェ,飲食業,500,"1,000円以上会計で500円引き",1,425-0012,静岡県焼津市浜当目4-13-18,054-639-6768,,,https://www.instagram.com/atabee0409/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/347.jpg,138.3343837,34.8807383
348,マルイチ　焼津本店,マルイチ　ヤイヅホンテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津3-9-37,054-628-4101,,https://www.maruichi-kagu.co.jp,https://www.instagram.com/maruichikagu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/348.jpg,138.3109072,34.8637808
349,ちゆう,チユウ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0028,静岡県焼津市駅北1丁目5-1コーポ松永102,054-330-1751,,https://www.chiyu-yaizu.com/,,,138.31854,34.873334
350,パッケージプラザ ヤマムラ,パッケージプラザ ヤマムラ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川7-17-13,054-627-4020,営業時間：月曜日〜土曜日（9時開店 〜 18時30分閉店） 定  休 日：日曜日 ※祝祭日：10時開店 〜 17時閉店,https://shimojima.jp/shop/store/storedetail.aspx?store=715619,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/350.jpg,138.308572,34.851578
351,ジョイフルパル,ジョイフルパル,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川1-2-1,054-629-5188,営業時間：９：３０〜１９：３０ 一部クーポン使用不可のものがございます。（商品券、工事代金、作業工賃等） お客様都合による返品・交換はできません。（但し、初期不良等の場合は対応させていただきます） ,https://www.joyfulpal.com/,https://www.instagram.com/joyfulpalyaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/351.jpg,138.3126203,34.8602564
352,大漁　やまちゃん,タイリョウ　ヤマチャン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0021,静岡県焼津市中港2-7-2,054-629-1919,昼11時〜14時(ラストオーダー13時半) 夜17時〜21時(ラストオーダー20時半) 日曜日、祭日は夜1時間早く閉めます。 ,,https://www.instagram.com/tai_ryamachiyan/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/352.jpg,138.3239,34.8703
353,TUNALABO,ツナラボ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町1-10-4,054-625-8408,対象商品は「おつな」のみです。 他社製品、ギフトボックス、袋などは対象外です。,https://otuna.tokyo/tunalabo,https://www.instagram.com/tunalabo/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/353.jpg,138.3229717,34.868232
354,100% Jamaica Blue Mountain Coffee & Chocolate LENY,レニー,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町4-710-19,054-625-8770,平日：9:00-18:00　定休日：水曜日 土日・祝：7:00-18:00,https://leny.coffee/,https://www.instagram.com/leny.yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/354.jpg,138.3211338,34.863768
355,すしせい,スシセイ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0073,静岡県焼津市小柳津536番地の1,054-374-1980,,http://www.susisei.com,https://www.instagram.com/sushisei0543741980/,,138.288686,34.852425
356,酒肴本丸駅前栄町店,サケサカナホンマルエキマエサカエチョウテン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1丁目3-6,0549-08-9936,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/356.jpg,138.3192906,34.8709532
357,アンティーク&カフェバー　古町,アンティークアンドカフェバー　コマチ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0055,静岡県焼津市道原1182-2,054-624-5986,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/357.jpg,138.3037099,34.8452016
358,アロエ食品株式会社,アロエショクヒンカブシキガイシャ,その他,1000,"2,000円以上会計で1,000円引き",1,421-0218,静岡県焼津市下江留2208,054-622-5566,● 弊社休業日： 第2.第4土曜日、日曜日、祝日　　  令和7年7月26日(土)、27日(日)、8月3日(日)は定休日です。 ● 平日の営業時間： 8：30　〜　17：00,https.www.aloe-foods.co.jp,https://www.instagram.com/aloe_foods/,,138.266983,34.811835
359,やいづとくさんプラザ,ヤイヅトクサンプラザ,小売業,500,"1,000円以上会計で500円引き",1,425-0032,静岡県焼津市鰯ケ島136-26,054-626-1561,,https://www.yaizu-uonaka.or.jp/plaza/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/359.jpg,138.3267391,34.8568392
360,まぐろ食堂にぎり部,マグロショクドウニギリブ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,,,https://uoni.co.jp,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/360.jpg,138.3030198,34.880822
361,魚二水産株式会社,ウオニスイサン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-627-0222,9:00-17:00 隔週水曜日休日,https://uoni.co.jp,https://www.instagram.com/yaizu_maguronouoni/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/361.jpg,138.3035837,34.8804104
362,シジカフェ,シジカフェ,飲食業,500,"1,000円以上会計で500円引き",1,425-0077,静岡県焼津市五ケ堀之内24-27,050-5469-6193,定休日：月～金曜日　営業日：土曜日、日曜日   営業時間：土曜日11:30～19:30　日曜日8:30〜15:30 ,,https://www.instagram.com/shizi_cafe/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/362.jpg,138.2914158,34.8644069
363,麺屋日出次,メンヤヒデツグ,飲食業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠2-22-8,080-1567-0477,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/363.jpg,138.3074952,34.8821997
364,まぐろ食堂,マグロショクドウ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7さかなセンターサービス棟B-1,054-627-0228,,https://uoni.co.jp,https://www.instagram.com/maguro_shokudou/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/364.jpg,138.3037287,34.881146
366,手づくりの和洋菓子　桃林堂,テヅクリノワヨウガシ　トウリンドウ,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0205,静岡県焼津市宗高1280,054-622-0027,,https://r.goope.jp/tohrindoh/,https://www.instagram.com/tohrindoh/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/366.jpg,138.2797188,34.8151363
367,マツデンとよだてん,マツデントヨダテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0074,静岡県焼津市柳新屋821-1,054-629-6262,営業時間　AM9：00からPM6：30,,,,138.2919857,34.8583954
368,魚家,トトヤ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0055,静岡県焼津市道原３アイスペースB,054-623-7505,,https//yaizu-totoya.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/368.jpg,138.3042646,34.8448354
369,岡村家具店,オカムラカグテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町５−１−８,054-628-2221,営業時間：１０：００〜１９：００ 水曜日定休,https://www.ok-kagu.com/,https://www.instagram.com/okamurakagu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/369.jpg,138.319929,34.863126
371,キーマン静岡,キーマンシズオカ,小売業,500,"1,000円以上会計で500円引き",1,425-0047,静岡県焼津市東祢宜島20-1,054-668-9506,,https://www.keyman-s.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/371.jpg,138.3026396,34.8426661
372,石原商店,イシハラショウテン,飲食業,500,"1,000円以上会計で500円引き",1,425-0027,静岡県焼津市栄町5-5-11,054-628-4629,営業開始　　10:00 営業終了時間　　夕方(売切次第) ※デジタルクーポン祭開催期間中、予約をお勧めします。,,https://www.instagram.com/ishiharatoriniku/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/372.jpg,138.319067,34.8671065
373,レプラス,レプラス,その他,1000,"2,000円以上会計で1,000円引き",1,425-0072,静岡県焼津市大住595-3 カサフェリス,054-639-6190,全日,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/373.jpg,138.2896943,34.8491924
374,おおとも接骨院,オオトモセッコツイン,その他,500,"1,000円以上会計で500円引き",1,425-0036,静岡県焼津市焼津市西小川2-7-8コーポラスやまだ1階東号室,054-620-1828,自費施術　鍼治療のみ利用可,https://www.otomo-sekkotsuin.net/sp/,https://www.instagram.com/otomomedical/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/374.jpg,138.308622,34.859866
375,おおとも接骨院小土院,オオトモセッコツインコヒジイン,その他,500,"1,000円以上会計で500円引き",1,425-0086,静岡県焼津市焼津市小土556-1,054-625-9861,自費施術　鍼治療のみ利用可,https://www.otomo-sekkotsuin.net/sp/,https://www.instagram.com/otomomedical/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/375.jpg,138.3016441,34.8686246
376,魚池のお魚屋ベンちゃん,ウオイケノオサカナヤベンチャン,小売業,1000,"2,000円以上会計で1,000円引き",1,421-0211,静岡県焼津市吉永823-1,054-622-4306,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/376.jpg,138.291703,34.799957
377,ほろよい屋,ホロヨイヤ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川3-2-13,054-625-9080,定休日毎週木曜日・第3水曜日 ランチはやってません。　　 pm4時から営業してます。 　　　,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/377.jpg,138.3102388,34.8586161
378,甲羅組　2号店,コウラグミ　ニゴウテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-631-5533,,https://denshoku-corp.jp/business/realstore/,https://www.instagram.com/kouragumi_yaizu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/378.jpg,138.3034667,34.8799809
379,さらふぁん,サラファン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0075,静岡県焼津市西焼津8-5,054-620-3131,営業時間 月、土　14時〜16時 火、木、金　10時半〜16時,http://www.sarafan2014.com/,https://www.instagram.com/sarafan_2014/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/379.jpg,138.2866418,34.8609684
380,台所屋　二軒目,ダイドコロヤ　ニケンメ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0075,静岡県焼津市西焼津25-1 二階,054-621-3395,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/380.jpg,138.2858039,34.8593023
381,SAKURAファーム,サクラファーム,小売業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-621-5502,,https://sakura502.jp,https://www.instagram.com/yaizu.sakura_farm171007/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/381.jpg,138.3033597,34.8799085
382,丸子,マルコ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町1-3-3,054-620-6011,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/382.jpg,138.3192055,34.8710398
383,美容室kokochi,ビヨウシツココチ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0036,焼津市西小川1丁目11-6,054-357-5630,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/383.jpg,138.3090004,34.8611315
384,はや,ハヤ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0026,静岡県焼津市焼津3-1-25,054-628-3288,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/384.jpg,138.3123421,34.8638079
385,ピーターパン小麦市場,ピーターパンコムギイチバ,小売業,500,"1,000円以上会計で500円引き",1,425-0026,静岡県焼津市焼津１丁目10-26,054-620-8200,営業時間　7：30〜18：00,http://www.peaterpan.jp/,https://www.instagram.com/peaterpan.winwin/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/385.jpg,138.314432,34.867662
386,スギ薬局大覚寺店,スギヤッキョクダイカクジテン,小売業,500,"1,000円以上会計で500円引き",1,425-0088,静岡県焼津市大覚寺二丁目２５番地の７,054-621-0035,,https://www.sugi-net.jp/,https://www.instagram.com/drug_sugi/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/386.jpg,138.2976145,34.8754503
387,スギドラッグ焼津東小川店,スギドラッグヤイヅヒガシコガワテン,小売業,500,"1,000円以上会計で500円引き",1,425-0035,静岡県焼津市東小川３丁目２０番地の５,054-620-7111,,https://www.sugi-net.jp/,https://www.instagram.com/drug_sugi/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/387.jpg,138.3155097,34.8541908
388,インド料理ガンジー,インドリョウリガンジー,飲食業,500,"1,000円以上会計で500円引き",1,425-0014,静岡県焼津市中里314-2,054-626-0332,営業時間　11-15　17-22 他のクーポンと併用不可,https://ohsama-curry.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/388.jpg,138.3179428,34.8810744
390,青宇宙,アオソラ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0034,静岡県焼津市与惣次1-13-16,054-689-3316,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/390.jpg,138.3082562,34.8461601
391,セイブストア伊万里,セイブストアイマリ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0072,静岡県焼津市大住679番地,054-629-5417,営業時間  9:00-18:30,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/391.jpg,138.290822,34.84764
392,炉ばた家かっぱ,ロバタヤカッパ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0043,静岡県焼津市石津中町22-13,054-624-0078,,,,,138.323734,34.839881
393,ネイルサロンマホネイル,ネイルサロンマホネイル,その他,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町1-9-10,,ご予約受付日 火・水・金・日曜日  ご予約受付時間 ①10:00〜13:00 ②14:00〜17:00 ③18:00〜21:00  焼津駅より徒歩15分 駐車場あり  ご予約空き状況はインスタグラムで更新中 新規のお客様のご予約はインスタグラムのDMからお待ちしております♪,,https://www.instagram.com/mahonail2023/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/393.jpg,138.3236412,34.868448
394,港湾オートタイヤサービス,コウワンオートタイヤサービス,その他,1000,"2,000円以上会計で1,000円引き",1,421-0214,静岡県焼津市中島817-1,054-622-1677,クーポンは法定費用及び税金は使用不可,http://www.Korean-tire.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/394.jpg,138.279588,34.793613
395,kamika,カミカ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0071,焼津市三ケ名360-9,054-626-5212,,https://kamika-salon.com/,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/395.jpg,138.2974338,34.8548857
396,カネジュウ食品株式会社,カネジュウショクヒン,その他,500,"1,000円以上会計で500円引き",1,421-0211,静岡県焼津市吉永７−１,054-622-5515,,https://kanejyu.com/,https://www.instagram.com/kanejyu_miso/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/396.jpg,138.2793052,34.7973218
397,北斗理容室　HOKUTO,ホクトリヨウシツ　ホクト,その他,1000,"2,000円以上会計で1,000円引き",1,425-0022,静岡県焼津市本町1-4-14,054-628-3043,8:30~17:00,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/397.jpg,138.323059,34.868948
398,松葉畳店,マツバタタミテン,その他,1000,"2,000円以上会計で1,000円引き",1,425-0068,静岡県焼津市中新田1005-5,054-624-9669,定休日（日・月・祝日） 営業時間　9:30 - 17:00,http://www.matsubatatamiten.jp,https://www.instagram.com/matsubatatamiten/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/398.jpg,138.286075,34.839547
399,hair salon felice,ヘアサロン　フェリーチェ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0066,静岡県焼津市大島640-1,070-8339-3678,,https://felice1207.amebaownd.com/,https://www.instagram.com/hair_salon__felice/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/399.jpg,138.284175,34.820903
401,新村指圧治療院,シンムラシアツチリョウイン,その他,1000,"2,000円以上会計で1,000円引き",1,425-0055,静岡県焼津市道原1270-1,054-623-5808,営業時間:9:00〜19:00 定休日:火曜日,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/401.jpg,138.304111,34.843193
402,静岡福祉大学売店「りとるりりぃなるせ」,リトルリリィナルセ,小売業,500,"1,000円以上会計で500円引き",1,425-0063,静岡県焼津市本中根549-1,054-623-1414,土日休み,,https://www.instagram.com/little_lily_naruse/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/402.jpg,138.2964444,34.8294893
403,ミート田中,ミートタナカ,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0027,静岡県焼津市栄町6-7-23 フォレスト一階,050-8884-9208,,https://www.meat-tanaka.com,https://www.instagram.com/meat.tanaka0928/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/403.jpg,138.3170394,34.8696452
404,あとりえMOMO,アトリエモモ,飲食業,1000,"2,000円以上会計で1,000円引き",1,421-0211,静岡県焼津市吉永1937-1,054-622-2262,10時から18時30分　お休みは1月1日のみ,,,,138.3041523,34.7915633
405,さふらん手芸店,サフランシュゲイテン,小売業,500,"1,000円以上会計で500円引き",1,421-0201,静岡県焼津市上小杉350番地,054-622-6868,10:00〜18:00  定休日：毎週日曜日と水曜日,,,,138.279943,34.816654
406,東海道写楽焼津小川店,トウカイドウシャラクヤイヅコガワテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0036,静岡県焼津市西小川7丁目1-4,054-626-3434,平日：10：00〜よる 6：30 土日祝：10：00〜よる 7：00 毎週木曜定休※祝日などは営業になります,https://www.t-sharaku.jp/index.html,https://www.instagram.com/toukaido_sharaku/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/406.jpg,138.3081987,34.8520494
407,SUMARU SAUNA,スマルサウナ,その他,500,"1,000円以上会計で500円引き",1,425-0021,静岡県焼津市中港3丁目1-16,054-330-8283,,https://sumaru-sauna.jp/,https://www.instagram.com/sumaru_sauna/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/407.jpg,138.32487,34.8731526
408,和食さと　焼津店,ワショクサト　ヤイズテン,飲食業,1000,"2,000円以上会計で1,000円引き",1,425-0046,静岡県焼津市三右衛門新373-1,054-656-0701,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/408.jpg,138.300056,34.84687
411,肉の石割,ニクノイシワリ,小売業,500,"1,000円以上会計で500円引き",1,425-0027,静岡県焼津市栄町4-3-6,054-629-0298,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/411.jpg,138.3204097,34.8690261
412,日宏,ニッコー,小売業,500,"1,000円以上会計で500円引き",1,425-0091,静岡県焼津市八楠4-13-7,054-627-7906,営業時間  9:00~17:00,,,,138.3037287,34.881146
413,発酵のおやつとごはん　こよみ,ハッコウノオヤツトゴハン　コヨミ,小売業,500,"1,000円以上会計で500円引き",1,425-0052,静岡県焼津市田尻1792 クラフトBASE,070-3855-8550,営業日・営業時間はインスタグラムでご確認ください,,https://www.instagram.com/hakko_koyomi/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/413.jpg,138.319524,34.8226952
414,鐘庵東小川店,ショウアンヒガシコガワテン,飲食業,500,"1,000円以上会計で500円引き",1,425-0035,静岡県焼津市東小川6-5-13,054-620-5226,,,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/414.jpg,138.3092469,34.8539579
417,Muguet~first salon~,ミュゲ　ファーストサロン,その他,1000,"2,000円以上会計で1,000円引き",1,425-0086,静岡県焼津市小土939-5 パレドール小土A 101号室,054-397-7455,,https://beauty.hotpepper.jp/kr/slnH000715543/,https://www.instagram.com/muguet_first.salon_/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/417.jpg,138.2915679,34.8653988
418,NEST焼津,ネストヤイヅ,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0035,静岡県焼津市東小川6−6−4,054-626-7100,営業時間　11：00〜19：00 定休日　水曜日（一部変更あり）,http://www.mihoharaya.co.jp,https://www.instagram.com/nestyaidu/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/418.jpg,138.309008,34.85323
419,セブンイレブン焼津大島店,セブンイレブンヤイヅオオシマテン,小売業,1000,"2,000円以上会計で1,000円引き",1,425-0066,静岡県焼津市大島597,054-624-7792,,,,,138.2839877,34.823023
420,蕎麦屋　わびすけ,ソバヤ　ワビスケ,飲食業,500,"1,000円以上会計で500円引き",1,425-0052,静岡県焼津市田尻235-1,054-623-0858,,http://www.soba-wabisuke.com/,,,138.3181983,34.831239
421,キキとコキリ,キキトコキリ,その他,500,"1,000円以上会計で500円引き",1,421-0216,静岡県焼津市相川939番地,,営業日　土.日.月曜 営業時間　10時〜17時,,https://www.instagram.com/kiki_kokiri/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/421.jpg,138.2630136,34.8037749
422,筋膜整体Monteciero,キンマクセイタイモンテシエロ,その他,1000,"2,000円以上会計で1,000円引き",1,425-0088,静岡県焼津市大覚寺3-14-25,090-6764-7236,営業時間　9:00〜18:00 定休日　　日　月　祝,https://monteciero.com/,https://www.instagram.com/monteciero/,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/422.jpg,138.3017273,34.8747751
423,ポルト,ポルト,小売業,500,"1,000円以上会計で500円引き",1,425-0026,静岡県焼津市焼津859-21,054-628-3899,定休日：日曜日 営業時間　10:00〜19:00,http://porto-kaneden.com,,https://yaizu-smartcity.jp/images/opendata/digitalcoupon/423.jpg,138.324347,34.865454
